SeasonType,Season,Team,Score,OpponentScore,TotalScore,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,Games,TeamSeasonID,TeamID
1,2016,ARI,418,362,780,58,140,81,136,3,31:53,368,97,229,42,1086,5868,5.4,51,399,1732,4.3,20,646,383,4136,28,17,6.4,10.8,59.3,81.65,214,87,40.7,10,5,50.0,54,35,16,13,104,889,21,11,41,289,103,110,78,3269,41.9,28,28,0,72,99,91,97,3,30:03,293,90,175,28,1019,4883,4.8,41,424,1518,3.6,16,547,344,3365,21,14,6.2,9.8,62.9,82.26,219,85,38.8,15,7,46.7,45,25,9,6,123,1010,22,14,48,374,126,76,80,3633,45.4,28,28,0,64.8,81.2,55.6,66.7,47,43,1,6,1,0,0,28,21,40,37,1,2,1,0,0,28,25,705,190,46,303,68,21,14,678,221,40,200,101,17,11,16,161000001,1
1,2016,ATL,540,406,946,139,157,135,109,0,30:22,379,108,239,32,995,6653,6.7,63,421,1928,4.6,20,537,374,4725,38,7,8.8,12.6,69.6,114.94,178,75,42.1,14,8,57.1,63,39,14,9,104,847,4,4,37,235,78,70,48,2243,46.7,11,22,11,68,127,52,156,3,30:00,358,95,232,31,1059,5939,5.6,48,369,1675,4.5,15,655,422,4264,31,12,6.5,10.1,64.4,91.04,213,89,41.8,25,18,72.0,55,40,21,20,113,974,15,10,35,231,93,79,66,3026,45.8,22,11,-11,61.9,64.3,72.7,95.2,57,56,0,7,1,2,1,37,34,38,35,2,9,2,4,4,27,23,656,275,35,194,89,14,10,685,208,37,141,70,5,4,16,161000002,2
1,2016,BAL,343,321,664,93,82,62,106,0,31:46,316,79,205,32,1079,5563,5.2,32,367,1463,4.0,10,679,439,4100,20,16,6.0,9.3,64.7,81.12,233,86,36.9,19,8,42.1,46,24,9,7,125,1111,12,7,33,243,81,77,80,3665,45.8,23,28,5,73,79,60,109,0,29:14,294,74,190,30,993,5154,5.2,39,384,1430,3.7,10,578,369,3724,28,18,6.4,10.1,63.8,85.3,214,75,35.0,16,11,68.8,47,26,8,5,94,900,14,10,31,223,82,81,90,4089,45.4,28,23,-5,52.2,77.8,55.3,62.5,27,27,0,8,4,0,0,39,38,36,33,1,3,0,1,1,22,16,598,299,31,128,71,12,10,683,302,33,209,74,11,6,16,161000036,3
1,2016,BUF,399,378,777,78,99,110,112,0,30:48,328,146,155,27,1013,5665,5.6,49,492,2629,5.3,29,475,287,3036,17,7,6.4,10.6,60.4,84.86,210,86,41.0,15,8,53.3,54,35,16,12,112,960,13,5,46,214,78,78,75,3183,42.4,12,18,6,72,118,100,85,3,31:06,338,122,183,33,1018,5712,5.6,41,468,2130,4.6,21,511,306,3582,19,12,7.0,11.7,59.9,83.8,205,82,40.0,14,4,28.6,57,30,8,7,106,884,16,6,39,253,87,99,69,3024,43.8,18,12,-6,64.8,75.0,52.6,87.5,45,40,1,2,2,2,2,25,19,38,36,0,4,2,0,0,32,30,672,323,39,211,74,11,6,676,263,46,168,50,10,5,16,161000037,4
1,2016,CAR,369,402,771,85,107,88,89,0,31:50,318,99,194,25,1052,5499,5.2,40,453,1814,4.0,16,563,306,3685,21,19,6.5,12.0,54.4,73.02,223,83,37.2,17,11,64.7,49,29,14,11,98,850,10,10,36,277,92,90,76,3480,45.8,29,27,-2,75,96,70,161,0,29:10,329,90,223,16,1035,5755,5.6,43,375,1464,3.9,11,612,409,4291,27,17,7.0,10.5,66.8,90.12,211,80,37.9,13,9,69.2,55,24,6,5,112,907,13,10,48,270,96,74,71,3324,46.8,27,29,2,59.2,78.6,43.6,83.3,34,31,2,8,2,1,1,38,30,37,35,0,8,3,1,1,42,33,655,327,48,190,68,18,10,585,403,36,180,102,9,10,16,161000005,5
1,2016,CHI,279,399,678,42,105,52,80,0,28:07,324,93,212,19,967,5704,5.9,32,380,1735,4.6,10,559,347,3969,19,19,7.1,11.4,62.1,80.56,185,70,37.8,14,4,28.6,49,25,9,8,110,967,19,12,28,170,71,68,68,2994,44.0,31,11,-20,67,125,84,123,0,32:53,322,99,188,35,1012,5548,5.5,43,445,1950,4.4,18,530,342,3598,22,8,6.8,10.5,64.5,91.69,210,85,40.5,14,10,71.4,59,31,19,11,103,959,10,3,37,230,75,59,67,3049,45.5,11,31,20,51.0,88.9,52.5,57.9,32,31,0,0,0,0,0,23,18,42,38,0,1,1,0,0,35,33,708,201,37,170,70,12,3,669,181,27,135,78,15,12,16,161000038,6
1,2016,CIN,325,315,640,97,94,69,65,0,30:20,341,100,204,37,1050,5711,5.4,35,446,1769,4.0,17,563,364,3942,18,8,7.0,10.8,64.7,89.87,210,82,39.0,9,7,77.8,54,29,14,10,88,726,13,9,41,264,99,69,78,3613,46.3,17,20,3,71,81,69,94,0,31:36,327,95,196,36,1038,5612,5.4,34,412,1812,4.4,12,593,374,3800,22,17,6.4,10.2,63.1,81.76,217,86,39.6,19,9,47.4,49,25,15,10,105,950,7,3,33,185,75,74,74,3333,45.0,20,17,-3,53.7,71.4,51.0,66.7,35,29,0,0,0,0,0,35,28,32,28,2,2,0,1,0,31,27,651,331,33,168,85,6,3,642,374,41,167,74,11,9,16,161000007,7
1,2016,CLE,264,452,716,63,101,36,61,3,28:16,296,83,181,32,983,4976,5.1,29,350,1712,4.9,13,567,338,3264,15,14,5.8,9.7,59.6,74.28,212,77,36.3,18,13,72.2,44,24,10,9,95,736,22,11,66,429,81,54,83,3761,45.3,25,13,-12,103,123,107,107,12,33:54,364,121,220,23,1067,6279,5.9,56,498,2283,4.6,18,543,347,3996,36,10,7.4,11.5,63.9,100.43,206,93,45.1,12,9,75.0,60,40,16,13,104,930,7,3,26,177,136,122,74,3473,46.9,13,25,12,54.5,90.0,66.7,81.2,25,23,1,4,2,0,0,27,21,52,49,0,4,2,0,0,27,19,660,319,26,142,67,4,3,638,187,66,334,70,16,11,16,161000008,8
1,2016,DAL,421,306,727,89,142,82,102,6,32:55,358,142,191,25,1010,6027,6.0,49,499,2396,4.8,24,483,325,3631,25,6,7.5,11.2,67.3,101.56,189,80,42.3,9,8,88.9,57,38,19,13,105,879,14,9,28,168,89,87,58,2661,45.9,15,20,5,51,89,67,99,0,29:32,330,79,226,25,1009,5503,5.5,34,340,1336,3.9,9,633,425,4167,25,9,6.6,9.8,67.1,92.7,197,77,39.1,14,9,64.3,54,29,9,6,90,784,17,11,36,209,66,60,70,3049,43.6,20,15,-5,66.7,68.4,53.7,66.7,46,46,0,2,0,0,0,32,27,28,27,0,8,0,0,0,32,25,661,284,34,148,62,10,11,658,329,27,77,48,10,9,16,161000048,9
1,2016,DEN,333,297,630,40,106,41,143,3,29:03,290,76,181,33,1020,5169,5.1,35,410,1484,3.6,11,570,339,3685,20,11,6.5,10.9,59.5,82.24,219,75,34.2,17,9,52.9,47,22,18,12,119,985,20,14,40,229,110,55,89,4068,45.7,25,27,2,94,65,62,70,6,32:53,306,101,169,36,1076,5057,4.7,30,482,2085,4.3,15,552,306,2972,13,14,5.4,9.7,55.4,68.0,236,86,36.4,16,6,37.5,42,22,10,8,110,990,16,13,42,228,102,77,89,4352,48.9,27,25,-2,46.8,66.7,52.4,80.0,33,32,1,1,1,1,0,34,29,27,24,2,5,1,0,0,33,29,696,253,40,190,83,16,13,673,199,40,166,80,18,14,16,161000049,10
1,2016,DET,346,358,704,60,117,53,110,6,30:07,329,76,217,36,981,5421,5.5,36,350,1310,3.7,9,594,388,4111,24,10,6.9,10.6,65.3,91.81,195,83,42.6,10,7,70.0,48,26,13,9,100,861,6,5,37,216,67,60,62,3010,48.5,15,14,-1,62,99,85,112,0,30:18,333,99,206,28,964,5676,5.9,42,389,1701,4.4,8,549,399,3975,33,10,7.2,10.0,72.7,105.26,198,90,45.5,8,3,37.5,53,36,11,9,122,979,10,4,26,161,79,88,61,2684,44,14,15,1,54.2,69.2,67.9,81.8,33,31,1,3,1,0,0,36,31,39,36,0,4,2,0,0,26,22,690,218,26,148,63,9,4,651,220,36,171,71,7,5,16,161000011,11
1,2016,GB,432,388,820,93,145,59,135,0,31:14,349,91,222,36,1029,5900,5.7,51,374,1701,4.5,11,620,403,4199,40,8,6.8,10.4,65.0,100.6,210,98,46.7,17,7,41.2,66,40,15,10,100,827,15,9,35,246,83,80,56,2420,43.2,17,25,8,82,122,62,122,0,29:46,329,80,227,22,987,5823,5.9,45,376,1515,4.0,11,571,370,4308,32,17,7.5,11.6,64.8,93.79,199,82,41.2,18,12,66.7,45,28,6,5,109,964,10,8,40,295,72,68,59,2525,42.8,25,17,-8,60.6,66.7,62.2,83.3,47,44,0,5,1,1,1,30,26,40,37,0,5,0,1,0,29,27,674,202,39,209,88,8,8,671,214,35,148,52,9,9,16,161000012,12
1,2016,HOU,279,328,607,47,74,65,90,3,32:34,305,102,173,30,1071,5035,4.7,25,456,1859,4.1,8,583,347,3176,15,16,5.4,9.2,59.5,71.52,233,87,37.3,23,9,39.1,44,18,8,5,87,868,14,8,32,242,88,78,72,3423,47.5,24,17,-7,54,118,44,112,0,29:52,272,87,157,28,950,4821,5.1,36,397,1595,4.0,13,522,319,3226,20,11,6.2,10.1,61.1,82.75,213,82,38.5,13,3,23.1,44,23,13,10,114,950,11,6,31,198,97,70,84,3861,46.0,17,24,7,40.9,62.5,52.3,76.9,25,22,1,0,0,0,0,41,35,35,35,0,2,1,0,0,29,25,593,273,31,167,69,6,7,660,337,31,166,87,13,8,16,161000013,13
1,2016,IND,411,392,803,84,120,73,134,0,31:52,351,93,220,38,1037,5831,5.6,47,409,1629,4.0,13,584,370,4202,32,15,7.2,11.4,63.4,92.42,202,87,43.1,18,8,44.4,53,35,13,11,102,883,13,7,44,289,79,54,55,2711,49.3,22,17,-5,66,134,65,124,3,30:34,353,93,225,35,1023,6122,6.0,42,409,1926,4.7,12,581,377,4196,27,8,7.2,11.1,64.9,96.0,193,80,41.5,8,3,37.5,50,25,15,9,125,1155,15,9,33,211,133,64,63,2994,47.5,17,22,5,66.0,84.6,50.0,60.0,44,44,0,4,2,0,0,31,27,39,34,2,4,1,0,0,40,34,660,243,33,146,61,13,9,626,277,44,271,82,10,6,16,161000014,14
1,2016,JAX,318,400,718,51,90,64,113,0,29:09,321,75,207,39,1052,5359,5.1,34,392,1631,4.2,8,626,369,3728,24,16,6.0,10.1,58.9,78.15,221,78,35.3,16,7,43.8,40,24,12,9,129,1178,18,13,34,197,77,86,77,3589,46.6,29,13,-16,57,134,99,110,0,31:51,305,93,174,38,1030,5147,5.0,41,446,1703,3.8,17,551,345,3444,20,7,6.3,10.0,62.6,87.11,224,83,37.1,13,6,46.2,55,30,18,11,101,948,12,6,33,183,82,80,81,3774,46.6,13,29,16,60.0,75.0,54.5,61.1,32,29,0,2,1,1,1,34,27,40,36,1,0,0,1,1,41,38,700,176,33,156,55,10,6,697,158,32,170,103,13,13,16,161000052,15
1,2016,KC,389,311,700,88,117,61,111,12,31:36,305,86,197,22,990,5489,5.5,42,412,1749,4.2,15,546,365,3740,19,8,6.8,10.2,66.8,91.83,213,81,38.0,14,10,71.4,55,25,13,6,109,848,11,9,32,174,77,70,76,3277,43.1,17,33,16,76,103,44,85,3,31:39,342,102,209,31,1063,5897,5.5,34,437,1939,4.4,10,598,350,3958,23,18,6.6,11.3,58.5,78.71,222,96,43.2,20,10,50.0,53,26,12,9,109,797,22,15,28,162,73,80,69,3076,44.6,33,17,-16,45.5,46.2,49.1,75.0,39,36,1,4,2,0,0,35,31,30,30,0,6,1,0,0,30,25,703,180,27,146,104,16,15,687,210,32,123,50,12,9,16,161000055,16
1,2016,LAC,410,423,833,78,139,112,78,3,31:33,340,90,214,36,1014,5708,5.6,48,398,1510,3.8,10,580,349,4198,33,21,7.2,12.0,60.2,86.26,200,85,42.5,12,6,50.0,62,32,22,15,107,780,20,14,36,188,87,99,59,2731,46.3,35,28,-7,62,122,100,133,6,30:08,329,98,204,27,1025,5554,5.4,46,410,1567,3.8,20,580,364,3987,21,18,6.9,11.0,62.8,82.16,208,83,39.9,16,11,68.8,66,36,17,12,118,837,13,10,35,230,98,85,62,2874,46.4,28,35,7,51.6,68.2,54.5,70.6,46,42,2,3,0,0,0,32,26,42,42,0,4,2,0,0,38,33,699,210,35,196,86,13,10,677,228,36,165,80,14,14,16,161000084,29
1,2016,LAR,224,394,618,71,53,26,74,0,29:21,245,68,151,26,960,4203,4.4,24,375,1252,3.3,9,536,312,2951,14,20,5.5,9.5,58.2,66.69,213,67,31.5,20,8,40.0,34,16,8,5,126,1091,15,9,49,362,101,96,98,4680,47.8,29,18,-11,65,134,79,116,0,31:39,325,91,194,40,1038,5392,5.2,50,424,1660,3.9,12,583,378,3732,32,10,6.4,9.9,64.8,93.94,220,82,37.3,14,12,85.7,52,37,19,16,108,920,13,8,31,196,99,105,95,4311,45.4,18,29,11,47.1,62.5,71.2,84.2,23,23,0,0,0,1,0,22,19,47,44,1,2,0,1,1,18,16,694,219,31,93,74,11,9,635,220,49,285,84,21,9,16,161000032,32
1,2016,MIA,363,380,743,41,101,111,101,9,29:00,278,90,167,21,912,5324,5.8,46,405,1824,4.5,15,477,316,3500,27,15,7.3,11.1,66.2,93.63,188,69,36.7,4,0,0,47,26,8,5,125,1141,11,8,30,216,96,83,90,3991,44.3,23,25,2,110,95,58,117,0,32:18,349,109,199,41,1088,6122,5.6,43,464,2247,4.8,12,591,368,3875,30,16,6.6,10.5,62.3,86.93,213,77,36.2,16,9,56.2,51,29,10,9,109,919,16,9,33,226,92,79,73,3095,42.4,25,23,-2,55.3,62.5,56.9,90.0,42,41,0,3,1,0,0,21,16,38,34,3,7,5,0,0,35,26,656,375,32,184,73,16,9,629,237,29,177,77,11,8,16,161000064,19
1,2016,MIN,327,307,634,56,105,58,108,0,31:36,303,66,209,28,1006,5041,5.0,36,380,1205,3.2,9,588,414,3836,20,5,6.5,9.3,70.4,95.73,213,81,38.0,18,8,44.4,50,23,9,5,103,882,17,11,38,283,115,70,74,3155,42.6,16,27,11,71,121,27,82,6,30:49,304,87,186,31,993,5038,5.1,32,404,1711,4.2,9,548,332,3327,22,14,6.1,10.0,60.6,80.6,206,80,38.8,14,3,21.4,44,24,9,9,99,825,18,13,41,310,98,85,72,3289,45.7,27,16,-11,46.0,55.6,54.5,100,33,26,1,3,0,1,1,31,27,29,29,0,1,0,1,1,32,28,608,307,41,247,56,13,13,696,251,38,231,63,16,11,16,161000067,20
1,2016,NE,441,250,691,130,112,106,93,0,31:13,351,109,203,39,1056,6180,5.9,51,482,1872,3.9,19,550,368,4308,32,2,7.8,11.7,66.9,108.36,227,104,45.8,12,8,66.7,60,38,14,12,93,819,18,9,24,148,71,58,72,3217,44.7,11,23,12,32,77,61,80,0,29:47,294,81,190,23,998,5223,5.2,27,368,1417,3.9,6,596,368,3806,21,13,6.4,10.3,61.7,82.8,206,76,36.9,18,7,38.9,44,23,12,8,113,930,17,10,34,227,69,65,80,3639,45.5,23,11,-12,63.3,85.7,52.3,66.7,49,46,0,3,1,0,0,32,27,24,23,1,4,1,0,0,29,21,573,359,34,176,69,15,10,609,453,24,130,38,17,9,16,161000021,21
1,2016,NO,469,454,923,89,135,88,157,0,31:57,395,105,265,25,1105,6816,6.2,55,404,1742,4.3,17,674,472,5074,38,15,7.5,10.8,70.0,101.33,220,107,48.6,15,13,86.7,68,45,17,15,107,969,12,9,27,184,103,71,57,2751,48.3,24,21,-3,92,181,65,116,0,29:03,353,91,230,32,1008,6006,6.0,51,396,1626,4.1,19,582,378,4380,27,9,7.5,11.6,64.9,96.59,194,84,43.3,10,4,40.0,56,32,19,12,104,881,16,12,30,213,67,59,56,2619,46.8,21,24,3,66.2,88.2,57.1,63.2,50,49,1,4,0,2,2,34,28,46,44,0,6,3,0,0,35,32,670,252,30,132,67,11,12,748,259,27,114,93,12,9,16,161000069,22
1,2016,NYG,310,284,594,54,104,59,93,0,28:19,289,73,190,26,1018,5291,5.2,36,398,1412,3.5,6,598,377,3879,26,16,6.5,10.3,63.0,84.99,219,78,35.6,19,9,47.4,43,23,9,5,88,857,14,11,22,148,86,85,93,4297,46.2,27,25,-2,88,78,50,68,0,32:41,298,82,191,25,1062,5435,5.1,26,397,1417,3.6,10,630,369,4018,15,17,6.4,10.9,58.6,74.16,238,84,35.3,14,7,50.0,43,17,12,6,104,853,15,8,35,242,62,59,89,4112,46.2,25,27,2,53.5,55.6,39.5,50.0,35,31,0,1,0,0,0,22,21,25,24,0,2,0,0,0,40,34,730,304,35,192,100,13,8,717,326,21,120,85,13,11,16,161000075,23
1,2016,NYJ,275,409,684,46,95,44,84,6,31:41,291,97,166,28,1003,5268,5.3,28,418,1802,4.3,11,550,311,3466,16,25,6.3,11.1,56.5,66.22,210,76,36.2,19,8,42.1,54,19,13,6,93,837,15,9,35,179,82,79,75,3236,43.1,34,14,-20,99,130,84,96,0,30:43,318,86,203,29,1000,5479,5.5,47,428,1581,3.7,11,545,347,3898,30,8,7.2,11.2,63.7,97.18,210,84,40.0,10,2,20.0,51,29,14,10,74,650,14,6,27,179,98,72,72,3185,44.2,14,34,20,35.2,46.2,56.9,71.4,26,24,0,0,0,1,1,31,27,45,44,0,2,1,0,0,31,27,600,298,27,142,53,13,4,600,350,35,108,98,15,9,16,161000082,24
1,2016,OAK,416,385,801,59,133,88,130,6,32:44,333,98,198,37,1047,5969,5.7,47,433,1922,4.4,17,595,378,4047,29,7,6.8,10.7,63.5,94.71,218,83,38.1,13,6,46.2,56,32,17,14,147,1247,11,7,19,86,78,59,81,3938,48.6,14,30,16,43,127,114,101,0,29:06,318,94,188,36,987,6002,6.1,46,421,1882,4.5,18,541,328,4120,27,16,7.6,12.6,60.6,88.65,198,78,39.4,15,4,26.7,57,33,18,13,115,1051,24,14,25,147,40,59,72,3309,46.0,30,14,-16,57.1,82.4,57.9,72.2,39,37,1,10,5,0,0,35,29,39,35,1,9,3,1,1,26,22,656,195,25,109,73,20,14,713,180,19,65,60,9,7,16,161000083,25
1,2016,PHI,367,331,698,56,119,94,98,0,33:31,333,114,192,27,1080,5398,5.0,37,438,1813,4.1,16,609,380,3585,16,14,5.9,9.4,62.4,77.79,224,85,37.9,27,13,48.1,55,27,12,10,113,945,15,6,33,213,87,79,63,2888,45.8,20,26,6,78,120,59,68,6,28:56,300,89,177,34,978,5484,5.6,36,391,1652,4.2,10,553,333,3832,25,16,6.9,11.5,60.2,84.15,205,82,40.0,18,8,44.4,51,23,12,8,99,837,17,10,34,207,88,83,61,2873,47.1,26,20,-6,49.1,83.3,45.1,66.7,31,30,0,5,1,3,3,41,35,34,31,1,2,0,0,0,33,28,603,244,33,165,77,12,10,721,217,33,151,72,10,6,16,161000026,26
1,2016,PIT,399,327,726,95,94,59,145,6,31:45,336,97,210,29,1026,5962,5.8,47,409,1760,4.3,13,596,381,4202,33,15,7.1,11.0,63.9,92.7,202,83,41.1,16,9,56.2,49,29,7,7,112,1068,8,3,21,175,90,86,68,3100,45.6,18,23,5,62,83,74,105,3,30:00,313,95,184,34,997,5482,5.5,36,369,1600,4.3,15,590,381,3882,20,13,6.6,10.2,64.6,85.43,214,88,41.1,21,11,52.4,57,26,12,8,109,920,14,10,38,259,59,48,70,3039,43.4,23,18,-5,59.2,100,45.6,66.7,37,37,0,12,3,0,0,28,24,32,29,0,6,2,0,0,31,26,673,276,38,192,80,15,10,647,305,21,141,85,9,3,16,161000028,28
1,2016,SEA,354,292,646,66,138,46,101,3,30:03,313,85,203,25,1012,5715,5.6,37,403,1591,3.9,13,567,368,4124,23,12,7.3,11.2,64.9,91.18,207,79,38.2,11,4,36.4,56,26,12,7,117,970,11,6,42,298,94,84,71,3126,44.0,18,19,1,62,90,40,97,3,31:53,307,94,180,33,1020,5099,5.0,34,441,1487,3.4,18,537,331,3612,16,11,6.7,10.9,61.6,82.87,212,82,38.7,20,6,30.0,46,26,8,4,103,925,13,8,42,272,107,86,78,3400,43.6,19,18,-1,46.4,58.3,56.5,50.0,35,29,5,4,1,0,0,37,33,29,29,0,3,1,2,2,27,19,577,436,42,182,70,14,8,592,398,40,232,60,10,7,16,161000090,30
1,2016,SF,309,480,789,75,104,25,105,0,27:56,287,116,152,19,997,4930,4.9,36,458,2019,4.4,15,492,287,2911,21,10,5.9,10.1,58.3,81.11,222,78,35.1,19,10,52.6,44,30,9,8,99,831,21,15,47,255,78,70,100,4402,44.0,25,20,-5,93,152,98,131,6,33:28,358,140,187,31,1103,6501,5.9,56,548,2653,4.8,25,522,323,3848,30,10,7.4,11.9,61.9,95.54,226,102,45.1,7,4,57.1,66,41,9,7,93,795,15,10,33,165,85,88,78,3429,44.0,20,25,5,68.2,88.9,62.1,77.8,34,33,0,0,0,2,2,21,18,54,51,2,0,0,1,1,32,29,761,263,31,106,75,15,10,674,244,47,196,68,23,15,16,161000093,31
1,2016,TB,354,369,723,66,101,99,88,0,31:57,340,80,220,40,1066,5542,5.2,41,452,1619,3.6,8,578,355,3923,29,18,6.8,11.1,61.4,85.29,214,94,43.9,9,4,44.4,54,28,8,8,109,926,16,9,36,242,80,78,70,3215,45.9,27,29,2,78,114,96,75,6,30:52,326,102,203,21,1013,5887,5.8,41,427,1875,4.4,15,548,347,4012,24,17,7.3,11.6,63.3,87.03,195,67,34.4,10,8,80.0,50,29,17,11,121,1061,14,12,38,234,113,82,70,3109,44.4,29,27,-2,51.9,100,58.0,64.7,34,32,0,9,4,0,0,31,22,35,34,0,5,1,2,1,36,27,726,185,38,155,86,15,12,743,232,34,187,77,11,9,16,161000095,33
